doc_id,source_type,source_name,url,topic,status,filepath_raw,last_updated,filepath_cleaned,filepath_processed,title,last_edited,retrieved
gov_001,gov,uscis,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-opt-for-f-1-students,opt,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_001_optional-practical-training-opt-for-f-1-students.html,2026-04-19T21:17:07.314993,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_001_optional-practical-training-opt-for-f-1-students.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_001_optional-practical-training-opt-for-f-1-students.md,Optional Practical Training (OPT) for F-1 Students | USCIS,11/25/2024,4/19/2026
gov_002,gov,uscis,https://www.uscis.gov/i-765,i765,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_002_i-765.html,2026-04-19T21:17:07.476041,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_002_i-765.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_002_i-765.md,Application for Employment Authorization | USCIS,4/13/2026,4/19/2026
gov_003,gov,uscis,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/students-and-employment,employment,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_003_students-and-employment.html,2026-04-19T21:17:07.598561,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_003_students-and-employment.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_003_students-and-employment.md,Students and Employment | USCIS,11/20/2025,4/19/2026
gov_004,gov,uscis,https://www.uscis.gov/working-in-the-united-states/students-and-exchange-visitors/optional-practical-training-extension-for-stem-students-stem-opt,stem opt,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_004_optional-practical-training-extension-for-stem-students-stem-opt.html,2026-04-19T21:17:07.774634,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_004_optional-practical-training-extension-for-stem-students-stem-opt.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_004_optional-practical-training-extension-for-stem-students-stem-opt.md,Optional Practical Training Extension for STEM Students (STEM OPT) | USCIS,1/30/2026,4/19/2026
gov_005,gov,uscis,https://www.uscis.gov/policy-manual/volume-2-part-f-chapter-5,Practical Training,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_005_volume-2-part-f-chapter-5.html,2026-04-19T21:17:08.308475,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_005_volume-2-part-f-chapter-5.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_005_volume-2-part-f-chapter-5.md,Chapter 5 - Practical Training | USCIS,9/25/2024,4/19/2026
gov_006,gov,uscis,https://www.uscis.gov/working-in-the-united-states/h-1b-specialty-occupations,h1b,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_006_h-1b-specialty-occupations.html,2026-04-19T21:17:08.521642,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_006_h-1b-specialty-occupations.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_006_h-1b-specialty-occupations.md,H-1B Specialty Occupations | USCIS,3/31/2026,4/19/2026
gov_007,gov,dol,https://www.dol.gov/agencies/whd/immigration/h1b,h1b,no content extracted,C:\Users\yl73\studentnexus\data\raw\gov\gov_007_h1b.html,2026-04-19T10:42:44.780366,,,Challenge Validation,,4/19/2026
gov_008,gov,dhs,https://studyinthestates.dhs.gov/students/prepare/students-and-the-form-i-20,i20,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_008_students-and-the-form-i-20.html,2026-04-19T21:17:08.774440,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_008_students-and-the-form-i-20.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_008_students-and-the-form-i-20.md,Students and the Form I-20 | Study in the States,,4/19/2026
gov_009,gov,dhs,https://studyinthestates.dhs.gov/schools/apply/getting-started-with-sevp-certification,sevp,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_009_getting-started-with-sevp-certification.html,2026-04-19T21:17:08.858961,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_009_getting-started-with-sevp-certification.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_009_getting-started-with-sevp-certification.md,Getting Started with SEVP Certification | Study in the States,,4/19/2026
gov_010,gov,uscis,https://www.uscis.gov/forms/all-forms/how-do-i-request-premium-processing,premium processing,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_010_how-do-i-request-premium-processing.html,2026-04-19T21:17:08.999262,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_010_how-do-i-request-premium-processing.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_010_how-do-i-request-premium-processing.md,How Do I Request Premium Processing? | USCIS,3/23/2026,4/19/2026
